Timestamp,Label,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,IR
2025-02-26 00:12:40.347852,sleep,9.801862,1.091756,-1.173159,-0.056224,0.021317,-0.014655,114656
2025-02-26 00:12:40.347852,sleep,9.813833,1.089362,-1.175553,-0.055957,0.022383,-0.014389,114701
2025-02-26 00:12:40.347852,sleep,9.809045,1.098939,-1.163582,-0.054891,0.02185,-0.013323,114789
2025-02-26 00:12:40.347852,sleep,9.799467,1.077391,-1.182736,-0.055158,0.02185,-0.014123,114881
2025-02-26 00:12:40.347852,sleep,9.799467,1.106121,-1.182736,-0.055158,0.023182,-0.014655,114968
2025-02-26 00:12:40.347852,sleep,9.818622,1.113304,-1.156399,-0.055424,0.022649,-0.014389,114947
2025-02-26 00:12:40.347852,sleep,9.792285,1.101333,-1.165976,-0.055158,0.022916,-0.01359,114978
2025-02-26 00:12:40.347852,sleep,9.816227,1.086968,-1.142034,-0.055691,0.021583,-0.014123,115012
2025-02-26 00:12:40.347852,sleep,9.797073,1.09415,-1.175553,-0.055957,0.021583,-0.014922,115063
2025-02-26 00:12:40.347852,sleep,9.801862,1.11091,-1.16837,-0.055424,0.022383,-0.014389,115074
2025-02-26 00:12:40.347852,sleep,9.801862,1.113304,-1.170765,-0.055424,0.022116,-0.01359,115098
2025-02-26 00:12:40.347852,sleep,9.818622,1.089362,-1.16837,-0.055158,0.02185,-0.01359,115134
2025-02-26 00:12:40.347852,sleep,9.821015,1.079785,-1.173159,-0.055424,0.02185,-0.014389,115184
2025-02-26 00:12:40.347852,sleep,9.825804,1.089362,-1.18513,-0.055424,0.022649,-0.014389,115248
2025-02-26 00:12:40.347852,sleep,9.801862,1.091756,-1.158794,-0.055424,0.02185,-0.014123,115295
2025-02-26 00:12:40.347852,sleep,9.82341,1.098939,-1.149217,-0.054891,0.021051,-0.013856,115323
2025-02-26 00:12:40.347852,sleep,9.821015,1.108515,-1.175553,-0.055424,0.022649,-0.014123,115355
2025-02-26 00:12:40.347852,sleep,9.801862,1.089362,-1.158794,-0.055957,0.022383,-0.01359,115248
2025-02-26 00:12:40.347852,sleep,9.794679,1.09415,-1.158794,-0.055424,0.022383,-0.015188,115370
2025-02-26 00:12:40.347852,sleep,9.813833,1.089362,-1.142034,-0.055424,0.023182,-0.014655,115501
2025-02-26 00:12:40.347852,sleep,9.80665,1.089362,-1.163582,-0.055957,0.022383,-0.014655,115501
2025-02-26 00:12:40.347852,sleep,9.80665,1.101333,-1.149217,-0.055424,0.022116,-0.014389,115510
2025-02-26 00:12:40.347852,sleep,9.811439,1.096544,-1.158794,-0.055957,0.021051,-0.015188,115515
2025-02-26 00:12:40.347852,sleep,9.804255,1.11091,-1.175553,-0.055158,0.021583,-0.014922,115520
2025-02-26 00:12:40.347852,sleep,9.801862,1.115698,-1.177947,-0.056224,0.022916,-0.015188,115418
2025-02-26 00:12:40.347852,sleep,9.811439,1.082179,-1.158794,-0.054625,0.021051,-0.015455,115276
2025-02-26 00:12:40.347852,sleep,9.801862,1.108515,-1.13964,-0.055424,0.020784,-0.016254,114791
2025-02-26 00:12:40.347852,sleep,9.797073,1.089362,-1.177947,-0.055424,0.019985,-0.016787,114191
2025-02-26 00:12:40.347852,sleep,9.813833,1.101333,-1.163582,-0.056224,0.02185,-0.016787,113616
2025-02-26 00:12:40.347852,sleep,9.818622,1.098939,-1.173159,-0.057289,0.023715,-0.014655,113184
2025-02-26 00:12:40.347852,sleep,9.785102,1.089362,-1.173159,-0.05649,0.023182,-0.014655,113032
