AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,IR,Red
10.09,0.18,1.06,-0.05,0.02,-0.01,124389,29220
10.09,0.11,1.02,-0.05,0.02,-0.01,124396,29218
10.1,0.16,1.01,-0.05,0.03,-0.01,124416,29214
10.09,0.13,1.07,-0.05,0.02,-0.01,124350,29202
10.09,0.15,1.02,-0.05,0.02,-0.01,124309,29227
10.15,0.12,1.03,-0.05,0.02,-0.01,124298,29245
10.1,0.12,1.04,-0.05,0.03,-0.01,124309,29254
10.09,0.17,1.05,-0.05,0.02,-0.01,124506,29279
10.08,0.13,1.03,-0.05,0.03,-0.01,124667,29278
10.11,0.15,1.06,-0.05,0.03,-0.01,124709,29278
10.1,0.15,1.03,-0.05,0.02,-0.01,124775,29286
10.11,0.15,1.05,-0.05,0.03,-0.01,124847,29273
10.11,0.13,1.04,-0.05,0.02,-0.01,124935,29290
10.08,0.15,1.04,-0.06,0.03,-0.01,124997,29316
10.11,0.1,1.09,-0.05,0.02,-0.01,125069,29341
10.13,0.17,1.02,-0.05,0.03,-0.01,124841,29298
10.09,0.11,1.06,-0.05,0.03,-0.01,124237,29225
10.1,0.13,1.07,-0.06,0.03,-0.01,123679,29152
10.09,0.14,1.07,-0.06,0.03,-0.01,123394,29139
10.12,0.12,1.03,-0.05,0.02,-0.01,123373,29135
10.04,0.15,1.05,-0.05,0.02,-0.01,123427,29129
10.12,0.12,1.08,-0.05,0.03,-0.01,123570,29171
10.09,0.12,1.05,-0.05,0.02,-0.01,123848,29200
10.1,0.15,1.03,-0.05,0.02,-0.01,123824,29190
10.07,0.18,0.98,-0.08,0.03,-0.01,123409,29146
10.12,0.06,1.17,-0.11,0.03,-0.01,123122,29120
10.15,0.12,1.08,-0.05,0.02,-0.01,123144,29107
10.02,0.11,0.99,-0.05,0.02,-0.01,123272,29130
10.05,0.18,1.02,-0.05,0.02,-0.01,123456,29153
10.08,0.1,1.08,-0.05,0.02,-0.01,123727,29200
10.1,0.1,1.07,-0.02,0.02,-0.01,124196,29277
10.12,0.14,1.05,-0.02,0.02,-0.01,124693,29333
10.1,0.15,1.09,-0.04,0.02,-0.01,125047,29412
10.1,0.17,1.06,-0.05,0.02,-0.01,125248,29450
10.07,0.15,1.06,-0.05,0.02,-0.01,125058,29380
10.08,0.16,1.04,-0.05,0.02,-0.01,124423,29298
10.09,0.11,1.07,-0.05,0.02,-0.01,124006,29282
10.09,0.14,1.06,-0.05,0.02,-0.01,124102,29313
10.09,0.12,1.02,-0.01,0.02,-0.01,124385,29342
10.08,0.18,1.0,-0.03,0.02,-0.01,124502,29349
10.09,0.16,1.03,-0.05,0.02,-0.01,124548,29371
10.09,0.13,1.02,-0.06,0.02,-0.01,124539,29376
10.1,0.14,1.04,-0.06,0.02,-0.01,124526,29373
10.08,0.14,1.06,-0.05,0.02,-0.01,124590,29378
10.11,0.13,1.01,-0.05,0.02,-0.01,124817,29398
10.13,0.15,1.03,-0.05,0.02,-0.01,125015,29400
10.12,0.14,1.05,-0.05,0.02,-0.01,125112,29405
10.1,0.11,1.0,-0.05,0.02,-0.01,125299,29408
10.1,0.13,1.06,-0.05,0.02,-0.01,125482,29445
10.1,0.14,1.01,-0.05,0.02,-0.01,125646,29493
10.11,0.15,1.02,-0.05,0.02,-0.01,125761,29511
10.1,0.14,1.02,-0.05,0.02,-0.01,125813,29515
10.13,0.08,1.0,-0.05,0.02,-0.01,125970,29542
10.11,0.12,1.05,-0.05,0.02,-0.01,126388,29603
10.12,0.3,0.95,0.02,0.02,-0.01,126283,29542
10.08,0.11,0.99,-0.06,0.03,-0.01,125667,29426
10.09,0.14,1.04,-0.08,0.02,-0.01,125266,29436
10.09,0.12,1.05,-0.06,0.03,-0.01,125325,29479
10.11,0.13,1.03,-0.05,0.02,-0.01,124813,29306
10.08,0.14,1.02,-0.05,0.02,-0.01,124803,29314
10.1,0.13,1.05,-0.05,0.02,-0.01,124785,29326
10.13,0.12,1.07,-0.05,0.02,-0.01,124707,29310
10.11,0.11,1.03,-0.06,0.02,-0.01,124574,29302
10.08,0.16,1.05,-0.05,0.02,-0.01,124634,29320
10.1,0.12,1.01,-0.05,0.02,-0.01,124632,29296
